State,1996,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,1996_Poverty Ratio,2006_Poverty Ratio,2016_Poverty Ratio,2017_Poverty Ratio,2018_Poverty Ratio,2019_Poverty Ratio,2020_Poverty Ratio
Alabama,365,205,205,205,205,269,268,269,269,269,269,269,269,269,268,269,269,269,269,268,268,268,268,32,17,10,9,8,8,7
Alaska,1117,1182,1208,1246,1276,1292,1316,1350,1401,1444,1474,1554,1554,1554,1605,1631,1654,1679,1679,1683,1714,1759,1785,132,32,27,20,20,22,20
Arizona,638,586,586,586,586,586,585,585,586,585,585,585,585,585,585,585,585,585,585,585,585,585,585,42,27,6,6,6,6,6
Arkansas,425,279,279,279,279,279,278,279,279,279,279,279,279,279,278,279,279,279,279,278,278,278,278,33,11,5,5,5,4,4
California,823,883,883,906,949,981,1005,981,981,1116,1170,1187,1203,1224,1258,1289,1315,1346,1381,1431,1484,1542,1596,101,66,66,65,68,70,71
Colorado,511,511,511,511,511,511,511,511,511,511,511,511,511,421,421,421,510,511,511,511,511,511,511,66,18,26,34,34,23,20
Connecticut,835,835,835,835,835,835,835,835,835,835,858,858,858,880,880,880,880,908,908,908,908,908,908,82,48,23,21,22,27,22
Delaware,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,99,45,38,36,39,44,35
Florida,574,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,55,20,12,13,12,13,13
Georgia,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,673,673,673,82,16,5,6,5,5,5
Hawaii,1187,1641,1641,1641,1641,1641,1640,1641,1641,1641,1802,1802,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,108,71,38,38,34,35,34
Idaho,1081,637,637,637,648,646,972,646,648,646,648,648,648,648,972,648,648,972,972,972,972,972,972,32,8,7,8,8,9,11
Illinois,467,467,467,467,486,486,486,486,486,486,486,522,763,772,795,814,825,837,840,851,866,889,889,87,17,17,14,15,14,16
Indiana,378,410,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,61,35,7,7,6,5,5
Iowa,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,64,40,22,21,21,19,23
Kansas,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,52,32,10,8,8,10,9
Kentucky,616,909,909,909,909,909,908,908,909,908,908,908,908,908,908,908,908,908,908,908,908,908,908,55,29,20,24,21,21,21
Louisiana,404,310,360,360,360,360,359,360,360,360,360,360,360,359,359,359,360,360,360,360,359,359,359,48,10,4,4,4,4,4
Maine,643,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1598,91,52,22,19,18,19,22
Maryland,607,499,521,549,590,591,596,603,613,686,706,718,718,718,717,719,780,795,795,810,846,886,908,97,32,30,39,33,25,29
Massachusetts,669,655,723,723,723,723,1069,723,723,723,723,723,723,723,1069,723,723,1143,1143,833,833,832,832,81,46,38,38,34,40,43
Michigan,773,774,774,774,774,774,773,774,811,811,812,815,815,815,815,803,803,803,815,815,815,815,815,88,40,14,12,11,11,11
Minnesota,621,955,962,991,1013,1029,1039,1067,1076,1087,1108,1108,1224,1224,1225,1105,1191,1089,2243,2243,2227,2231,2359,93,51,57,47,41,47,60
Mississippi,458,458,458,458,458,458,457,457,458,457,457,458,458,458,457,458,458,458,457,457,457,457,457,39,14,7,6,6,4,4
Missouri,557,558,558,558,558,558,557,558,558,381,381,557,557,557,557,557,557,557,557,557,557,557,557,118,38,19,14,13,11,11
Montana,631,797,808,859,876,876,699,700,700,700,700,811,811,753,753,817,817,817,817,817,817,817,817,41,21,17,26,33,25,23
Nebraska,454,668,667,693,732,732,762,802,802,851,850,886,886,886,923,923,967,991,991,1020,1020,1061,1061,54,52,20,21,18,17,20
Nevada,641,1035,1055,1098,1120,1133,1167,1185,1230,1341,1375,1430,1430,1448,1447,1526,1546,1660,1575,1595,1623,1666,1697,71,20,22,22,19,20,18
New Hampshire,943,688,750,750,781,781,781,781,781,781,781,844,844,844,843,844,844,844,844,1276,1298,1332,1357,100,62,25,28,30,46,46
New Jersey,782,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,681,838,838,108,42,20,19,15,16,16
New Mexico,479,389,720,1036,1061,1056,1060,1056,1056,1056,1017,1056,1017,1017,883,1017,1017,883,941,942,1018,1018,1018,44,32,22,21,21,24,27
New York,667,667,667,667,667,667,781,781,781,781,781,811,843,878,860,879,879,879,879,879,879,879,879,79,41,43,42,42,42,39
North Carolina,935,936,750,750,750,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,681,74,14,7,7,6,7,5
North Dakota,521,784,784,1252,1252,1252,1306,1252,1252,1252,1252,1252,1306,1169,1306,1169,1306,1331,1331,1331,1331,1331,1331,48,23,8,9,10,13,12
Ohio,631,972,980,980,980,980,980,980,980,980,980,980,763,773,795,814,825,838,840,851,866,889,905,89,33,22,24,25,25,25
Oklahoma,580,704,704,704,704,704,703,704,704,824,824,824,824,824,823,824,824,824,824,823,823,823,823,41,12,8,9,9,10,8
Oregon,550,460,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,50,26,37,35,40,48,49
Pennsylvania,677,677,677,677,677,677,677,677,493,493,493,493,493,677,677,677,677,677,677,677,677,677,677,87,45,30,28,25,26,25
Rhode Island,644,1278,1278,1278,1278,1278,1277,1277,1278,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,113,64,35,29,35,35,26
South Carolina,614,555,578,578,609,1156,1174,652,1240,1240,715,1356,1411,1412,1428,1471,1504,1524,1548,1554,1574,1602,1644,40,21,11,10,10,10,9
South Dakota,597,626,626,626,693,693,715,724,724,723,762,762,782,782,782,816,838,837,857,857,857,857,857,42,22,17,20,23,20,18
Tennessee,767,948,989,979,1008,1029,1029,1091,1112,1242,1315,1315,1315,1315,1315,1315,1315,1315,1315,1315,1315,1315,1315,67,51,23,23,22,18,15
Texas,401,400,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,402,402,401,401,401,401,47,12,4,4,4,4,4
