State,1996,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,365,205,205,205,205,269,268,269,269,269,269,269,269,269,268,269,269,269,269,268,268,268,268
Alaska,1117,1182,1208,1246,1276,1292,1316,1350,1401,1444,1474,1554,1554,1554,1605,1631,1654,1679,1679,1683,1714,1759,1785
Arizona,638,586,586,586,586,586,585,585,586,585,585,585,585,585,585,585,585,585,585,585,585,585,585
Arkansas,425,279,279,279,279,279,278,279,279,279,279,279,279,279,278,279,279,279,279,278,278,278,278
California,823,883,883,906,949,981,1005,981,981,1116,1170,1187,1203,1224,1258,1289,1315,1346,1381,1431,1484,1542,1596
Colorado,511,511,511,511,511,511,511,511,511,511,511,511,511,421,421,421,510,511,511,511,511,511,511
Connecticut,835,835,835,835,835,835,835,835,835,835,858,858,858,880,880,880,880,908,908,908,908,908,908
Delaware,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428
D.C.,742,479,479,539,539,539,539,539,567,567,588,588,588,588,588,588,588,588,601,668,735,802,818
Florida,574,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
Georgia,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,514,673,673,673
Hawaii,1187,1641,1641,1641,1641,1641,1640,1641,1641,1641,1802,1802,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740
Idaho,1081,637,637,637,648,646,972,646,648,646,648,648,648,648,972,648,648,972,972,972,972,972,972
Illinois,467,467,467,467,486,486,486,486,486,486,486,522,763,772,795,814,825,837,840,851,866,889,889
Indiana,378,410,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378,378
Iowa,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061,1061
Kansas,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519
Kentucky,616,909,909,909,909,909,908,908,909,908,908,908,908,908,908,908,908,908,908,908,908,908,908
Louisiana,404,310,360,360,360,360,359,360,360,360,360,360,360,359,359,359,360,360,360,360,359,359,359
Maine,643,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1598
